no,year,title,eng_full
222,2011.0,"Soul Behind the Skill, Heart Behind the Technique: Experiences of Flow Among Artistically Talented Students in Singapore","Soul Behind the Skill, Heart Behind the Technique: Experiences of Flow Among Artistically Talented Students in Singapore qualitative methodologies; Asian; creativity; flow; artistically talented teenagers Case studies of students enrolled in a specialized secondary school in Singapore describe the experiences of flow among 14 teacher-nominated adolescents talented both in the arts and in academics. Individual in-depth interviews were conducted with the respondents to discern whether they experience flow as they each engage in their respective art forms (visual arts, dance, music, and theater). Qualitative analysis of the interview transcripts reveals elements of the flow state (clear goals, intense concentration, enjoyment, loss of self-consciousness, transformation of time) highly evident among the talented teenagers. Environmental supports that enable expressions of artistic inclinations and identities within the Singapore context were likewise in conjunction with implications for arts-educators and artist-practitioners."
223,2011.0,"An Examination of the Relationships Between Ego Development, Dabrowski's Theory of Positive Disintegration, and the Behavioral Characteristics of Gifted Adolescents","An Examination of the Relationships Between Ego Development, Dabrowski's Theory of Positive Disintegration, and the Behavioral Characteristics of Gifted Adolescents gifted students; ego development; Dabrowski's theory of positive disintegration; social and emotional development Literature exploring the experiences of gifted individuals has often focused on asynchronous development, particularly during childhood and adolescence. Also discussed in the literature are the unique social, emotional, and behavioral characteristics associated with giftedness. However, there is still an unclear picture concerning the implications of this work as related to the specific counseling needs of gifted students, and little empirical support is provided. This study seeks to build, through a developmental lens, a more comprehensive base from which to design counseling and teaching approaches with gifted students. Findings indicate that the ego levels of gifted students are slightly higher than those of typical adolescents. Empirical evidence of the level of development related to Dabrowski's theory of positive disintegration for gifted adolescents is provided, with the majority of respondents (70%) falling within Dabrowski's Level II-Unilevel Disintegration stage. Results also indicated that the gifted students studied are relatively well adjusted and that the behaviors exhibited by gifted adolescents are normally distributed. Study results are interpreted as indicating that although ego development and Dabrowski's theory of positive disintegration may share similarities, they are different constructs, and further investigation is needed to best use these theories in designing appropriate and effective counseling and teaching intervention strategies for working with gifted adolescents. Limitations of the study and suggestions for future research are presented."
224,2011.0,A Primer on Research Ethics in the Field of Gifted Education,"A Primer on Research Ethics in the Field of Gifted Education human subjects research; Institutional Review Boards Most organizations (e. g., institutions of higher education, K-12 school systems) that engage in research with human subjects have institutional review boards (IRBs; also known as research committees) responsible for the oversight of research activities to ensure the ethical treatment of participants. Professional societies such as American Educational Research Association (AERA) and the American Psychological Association (APA) have also developed ethical codes for research activities involving human subjects. Many journals, including GCQ, require that all research considered for publication is accompanied by documentation of review and approval by an IRB or other similar committee. The purpose of this Methodological Brief is to provide researchers, new and experienced, within the field of gifted education a brief introduction to the ethical principles that guide the decision making process of IRBs, to provide examples of what might be considered ethical code violations, and to offer suggestions for working through the review and approval process with IRB officials.(1)"
225,2011.0,The Dilemmas of Peer Relationships Confronting Mathematically Gifted Female Adolescents: Nine Cases in Taiwan,"The Dilemmas of Peer Relationships Confronting Mathematically Gifted Female Adolescents: Nine Cases in Taiwan mathematically gifted; adolescence; peer relationships; self-contained classes; pull-out programs There has been a scarcity of research studies addressing the dilemmas of peer relationships confronting gifted adolescent females. In this study, the peer relationships of nine mathematically gifted adolescent females living in Taiwan are explored using a qualitative multicase study. Data analysis revealed six compelling themes: a proclivity for aloneness, indifference to popularity, better rapport with gifted peers, preference for self-contained gifted classes, preference for gifted classes with a majority of boys, and more attachment to family than to friends. Inconsistencies with extant literature offer an opportunity to contemplate the socioemotional issues of mathematically gifted adolescent females from new angles. Putting the Research to Use The results of this study provide some insights into serving the needs of gifted girls. It is important for gifted girls to interact well with peers. However, they also need opportunities to learn to work and play alone, which are beneficial for their development of intrapersonal intelligence. Besides, schools should meet their need to meet and work with other gifted students with similar interests and values. When decisions are made about grouping options, the decisions should be based on the results of empirical studies and also on gifted girls' voice. In addition, some gifted girls may feel torn between their indignation at the gender inequality still existing in the current society and their greater willingness to work with their male peers. They should be assured that it is all right to have this kind of inner conflict and that inner conflict can provide impetus for growth."
226,2011.0,Student-Identified Exemplary Teachers: Insights From Talented Teachers,"Student-Identified Exemplary Teachers: Insights From Talented Teachers exemplary teachers; student perceptions of teaching; effective teachers; learning environments; attitudes; teacher quality What roles do teachers play in the development of talent and in the attitude of students toward school? Research indicates that teacher enthusiasm, feedback, and content knowledge are keys to student motivation, learning, and engagement. Research also reveals the importance of positive and supportive student/teacher relationships. In previous work concerning student attitudes toward school, a handful of teachers emerged, in the eyes of their students, as exemplary. Follow-up study provided insights concerning the characteristics, practices, and qualities of these teachers. What and how they teach, and the ways they relate to individual students distinguish these exemplary and talented teachers. This research reveals quantitative and qualitative findings that help to explain the student-identified exemplary teachers (n = 18) from two samples that included more than 400 teachers. Implications for practice based on findings from these exemplary teachers are highlighted."
227,2011.0,State of Research on Giftedness and Gifted Education: A Survey of Empirical Studies Published During 1998-2010 (April),"State of Research on Giftedness and Gifted Education: A Survey of Empirical Studies Published During 1998-2010 (April) philosophical/theoretical; qualitative methodologies; evaluation This study surveyed 1,234 empirical studies on giftedness, gifted education, and creativity during 1998-2010 (April), using PsycINFO database and targeted journals as main sources, with respect to main topics these studies focused on, methods they used for investigation, and the conceptual spaces they traversed. Four main research topics emerged from the survey: creativity/creatively gifted, achievement/underachievement, identification, and talent development. Rich and broad conceptual spaces linking these four categories to their psychological underpinnings and educational implications have been explored by this body of research, though the conceptual spaces are still too loosely organized to be seen as paradigmatic. Several prominent trends are identified, including the emergent qualitative studies (accounting for a quarter of the total studies) and the dominance of descriptive (comparative and correlational) research. Although most psychosocial studies are conducted in the context of gifted education, there still seems to be a gap between theory and practice, between psychological understanding of gifted development and promoting such development through education. More systematic, sustainable programs of research and more coordination among researchers are warranted to move the field forward."
228,2011.0,Competencies and Characteristics for Teaching Gifted Students: A Comparative Study of Beijing and Hong Kong Teachers,"Competencies and Characteristics for Teaching Gifted Students: A Comparative Study of Beijing and Hong Kong Teachers teachers of gifted students; competencies; characteristics; Beijing; Hong Kong This study examines the competencies and characteristics of in-service teachers who teach gifted students. A total of 511 in-service teachers participated in the study, 334 of whom were from Beijing and 177 were from Hong Kong. The scale developed by D. W. Chan was used as the instrument to examine the competencies and characteristics of the teachers. The Beijing in-service teachers gave significantly higher self-ratings for their characteristics and competencies than the Hong Kong in-service teachers. Beijing in-service teachers who taught in schools for the gifted (supernormal schools) gave the highest ratings for all the variables. This study analyzed the reasons behind why teachers in each city would have such ratings on competencies and characteristics for themselves, and why Beijing teachers (especially those who taught in supernormal schools) would have significantly higher ratings than their Hong Kong counterparts."
229,2011.0,On the Diagnosis of Learning Disabilities in Gifted Students: Reply to Assouline et al. (2010),"On the Diagnosis of Learning Disabilities in Gifted Students: Reply to Assouline et al. (2010) assessment; identification; dual exceptionality Gifted students often fail to achieve at a superior level in one or more academic areas. In this reply to an article by Assouline, Nicpon, and Whiteman, the author reviews various explanations for this phenomenon, including motivation/interest, learning opportunities, and error in measuring students' ability-achievement discrepancies. The author also describes different methodologies for investigating whether learning disabilities are overidentified among gifted students and, more broadly, considers the appropriateness of a learning disability diagnosis in students with average achievement. The author concludes with thoughts on the proper interpretation of Assouline et al.'s results."
230,2011.0,Cognitive and Psychosocial Characteristics of Gifted Students With Written Language Disability: A Reply to Lovett's Response,"Cognitive and Psychosocial Characteristics of Gifted Students With Written Language Disability: A Reply to Lovett's Response gifted learning disabled; disorder of written expression Our article describing the characteristics of gifted students with a specific learning disability (SLD) in written language was criticized for emphasizing an ability achievement discrepancy as an indication of a written language disability and for not ruling out alternative explanations for the observed difficulties. The three primary alternative explanations include measurement error, (lack of) motivation, and/or past experiences. In our reply, we offer extensive evidence that refutes these alternative explanations. The critique also offers an interpretation, which we determined to be inaccurate, of our data; therefore, we correct the misinterpretation. We conclude with a confirmation of our original findings: identification of gifted students with specific learning disabilities requires a comprehensive psycho-educational evaluation that includes an examination of the cognitive profile generated from individually-administered tests of ability and achievement. In combination with a psychosocial profile that addresses behavior, self-concept, interests, and motivation, educators have the necessary information to guide them in identifying and developing the unique talents of gifted children with SLD."
231,2011.0,Single-Subject Research in Gifted Education,"Single-Subject Research in Gifted Education single-subject research; gifted education Single-subject research (SSR) is an experimental research tradition that is well established in other fields (e.g., special education, behavior analysis) but has rarely been applied to topics in gifted education. In this Methodological Brief, Brandi Simonsen and Catherine A. Little from the University of Connecticut highlight the key features of SSR, describe typical SSR designs, and present examples to illustrate how each design could be applied to topics in gifted education."
232,2011.0,Academic Giftedness and Alcohol Use in Early Adolescence,"Academic Giftedness and Alcohol Use in Early Adolescence social and/or emotional development and adjustment; middle school; univariate analyses Adolescence is a period of development particularly vulnerable to the effects of alcohol use, with recent studies underscoring alcohol's effects on adolescent brain development. Despite the alarming rates and consequences of adolescent alcohol use, gifted adolescents are often overlooked as being at risk for early alcohol use. Although gifted adolescents may possess protective factors that likely inhibit the use of alcohol, some gifted youth may be vulnerable to initiating alcohol use during adolescence as experimenting with alcohol may be one way gifted youth choose to compensate for the social price (whether real or perceived) of their academic talents. To address the dearth of research on alcohol use among gifted adolescents the current study (a) examined the extent to which gifted adolescents use alcohol relative to their nongifted peers and (b) examined the adjustment profile of gifted adolescents who had tried alcohol relative to nongifted adolescents who tried alcohol as well as gifted and nongifted abstainers. More than 300 students in seventh grade (42.5% gifted) participated in the present study. Results indicated gifted students have, in fact, tried alcohol at rates that do not differ from nongifted students. Although trying alcohol was generally associated with negative adjustment, giftedness served as a moderating factor such that gifted students who had tried alcohol were less at risk than their nongifted peers. However, evidence also suggests that gifted adolescents who tried alcohol may be a part of a peer context that promotes substance use, which may place these youth at risk for adjustment difficulties in the future. Putting the Research to Use This research demonstrates that a fruitful line of future research would focus on examining the potential mechanisms underlying alcohol use among gifted youth. Individual differences with regard to endorsing a high desirability of gaining social acceptance or fitting in with non-gifted peers or distancing oneself from a gifted image may explain why some gifted students use alcohol and others do not. Until the underlying reasons of alcohol use/experimentation among gifted adolescents are better understood and researched further, it is not clear whether current prevention and intervention programs are effective for this subgroup of adolescents."
233,2011.0,Empirical Investigation of Twice-Exceptionality: Where Have We Been and Where Are We Going?,"Empirical Investigation of Twice-Exceptionality: Where Have We Been and Where Are We Going? identification; twice-exceptional; assessment Gifted students with coexisting disabilities, also known as twice-exceptional, are increasingly recognized in America's schools. This increasing awareness needs to be met with equal enthusiasm for empirical investigation into the identification and treatment needs of this group of students. In this article, a 20-year review of the empirical literature examining twiceexceptionality, specifically gifted students with learning disabilities, attention deficit hyperactivity disorder, or autism spectrum disorder, was conducted. Research strongly suggests that gifted students can have a coexisting disability and that comprehensive, individualized approaches toward diagnosis are necessary. Less is known about effective treatments and interventions that simultaneously highlight strengths and accommodate for areas of growth. Future research directions are offered that ideally will encourage scholars to discover more about effective diagnostic and intervention techniques for this very important group of gifted learners. df"
234,2011.0,"Gifted Girls' Passion for Fiction: The Quest for Meaning, Growth, and Self-Actualization","Gifted Girls' Passion for Fiction: The Quest for Meaning, Growth, and Self-Actualization verbally gifted girls; intellectual; imaginational; emotional intensities; growth motivation; youthful self-actualizers To illuminate the nature of the relationship that very able girls have with fiction, this is an interpretive account of the meanings that reading fiction holds for verbally gifted preadolescent girls. Ethnographic field methods were used to uncover the essences of the reading experience in the contexts of their daily lives. Data sources included the researcher's field notes, the girls' taped book discussions, parent interviews, and the girls' reading journals. Major findings were that the girls read and make meaning in and around three interconnected areas of intelligence and intensity: intellectual, imaginational, and emotional. As they read fiction, the girls engage in a process of determined growth in each of these domains of human awareness. The girls challenge themselves with difficult literature, critical and empathic thinking, and problem finding. As the girls read and make meaning, they are involved in constructing their lives' purpose. They are youthful self-actualizers."
235,2011.0,The Effects of Acceleration on High-Ability Learners: A Meta-Analysis,"The Effects of Acceleration on High-Ability Learners: A Meta-Analysis acceleration; meta-analysis; high-ability learners; academic achievement; social emotional development Current empirical research about the effects of acceleration on high-ability learners' academic achievement and social-emotional development were synthesized using meta-analytic techniques. A total of 38 primary studies conducted between 1984 and 2008 were included. The results were broken down by developmental level (P-12 and postsecondary) and comparison group (whether the accelerants were compared with same-age, older, or mixed-age peers). The findings are consistent with the conclusions from previous meta-analytic studies, suggesting that acceleration had a positive impact on high-ability learners' academic achievement (g = 0.180, 95% CI = -.072, .431, under a random-effects model). In addition, the social-emotional development effects appeared to be slightly positive (g = 0.076, 95% CI = -.025, .176, under a random-effects model), although not as strong as for academic achievement. No strong evidence regarding the moderators of the effects was found."
236,2011.0,Gender and Other Group Differences in Performance on Off-Level Tests: Changes in the 21st Century,"Gender and Other Group Differences in Performance on Off-Level Tests: Changes in the 21st Century gender differences; group differences; gifted females; off-level tests; math and reading subtests Using the off-level test scores of more than 250,000 students who participated in talent search testing from 2000 to 2008, this study examined if previously reported gender differences in students' performances in math versus verbal areas as well as the reported ratios of males and females for specific scoring levels still existed across years. Results showed that for the sample of gifted students used in this study, regardless of age, males outperformed females on the math and science subtests with the most pronounced differences on the math subtests, whereas females outperformed males on the verbal subtests. All these differences between genders did not diminish over the 9-year period but were steady with small or negligible effect sizes. The ratios of males to females in specific score ranges on the off-level tests were also steady and consistent, favoring males at the highest end in math and science with the maximum ratio of 3:1 and females at the highest end in verbal areas with the maximum ratio of 2:1. Performance differences by ethnicity and annual household income levels were also found throughout the years."
237,2011.0,Using Propensity Score Matching in Educational Research,"Using Propensity Score Matching in Educational Research propensity score matching; causal inference; experimental design; nonexperimental design; observational study; analysis of covariance This methodological brief introduces the readers to the propensity score matching method, which can be used for enhancing the validity of causal inferences in research situations involving nonexperimental design or observational research, or in situations where the benefits of an experimental design are not fully realized because of reasons beyond the researcher's control (e.g., attrition of participants). This brief discusses the rationale of propensity score matching, the major implementation steps and considerations, and illustrates the procedures with a data example. Some limitations and implementation challenges are also discussed."
238,2010.0,Parental Influences on the Academic Motivation of Gifted Students: A Self-Determination Theory Perspective,"Parental Influences on the Academic Motivation of Gifted Students: A Self-Determination Theory Perspective self-determination theory; parenting; motivation; gifted children; United States The home environment that parents provide their gifted children can have a significant impact on academic motivation, yet limited research has focused on this topic. Self-determination theory, a comprehensive framework of motivation, was used in the current study to explore two research questions: (a) What attitudes do parents of gifted students have toward the academic motivation of their children? (b) What approaches do parents of gifted students use at home to develop academic motivation? Interviews with 30 parents of gifted children from across the United States revealed three higher order themes including Parents as Experts, Scaffolding, and Behavior Modification. From a self-determination theory perspective, results suggest that despite good intentions, the parents of this study were inconsistent in providing home environments that support their children's development of internalized forms of academic motivation."
239,2010.0,Correlates of Teacher Practices Influencing Student Outcomes in Reading Instruction for Advanced Readers,"Correlates of Teacher Practices Influencing Student Outcomes in Reading Instruction for Advanced Readers advanced readers; teacher practices; student outcomes In a professional development project, six teaching practices were posited as necessary for improving affective and cognitive outcomes for identified advanced readers. These practices were identification, organization for instruction, content, instructional strategies, continuous improvement assessment, and ambassadorship. Sixty-one teachers received training in these practices and were evaluated on their implementation, with usable data from 37. Implementation ratings were correlated with measure of reading attitude and literary analysis. Several correlations were discovered that have implications for understanding teaching style and the influence of teacher practice on student outcomes."
240,2010.0,Examining the Probability of Identification for Gifted Programs for Students in Georgia Elementary Schools: A Multilevel Path Analysis Study,"Examining the Probability of Identification for Gifted Programs for Students in Georgia Elementary Schools: A Multilevel Path Analysis Study Identification; underrepresentation; race; multilevel; structural equation modeling This study focused on the analysis of a large-scale data set (N = 326,352) collected by the Georgia Department of Education using multilevel path analysis to model the probability that a student would be identified for participation in a gifted program. The model examined individual- and school-level factors that influence the probability that an individual would be identified. The probability of being identified as gifted depended strongly on student race and socioeconomic status and varied strongly across schools."
241,2010.0,Multigroup Construct Validity Evidence of the HOPE Scale: Instrumentation to Identify Low-Income Elementary Students for Gifted Programs,"Multigroup Construct Validity Evidence of the HOPE Scale: Instrumentation to Identify Low-Income Elementary Students for Gifted Programs factor analysis; quantitative methodologies; identification; assessment; low income; special populations/undeserved gifted; teacher nominations Students with exceptional academic potential who come from low-income families are frequently not identified for and consequently are underrepresented in gifted and talented programs. Because of this, new means of identifying such children must be developed. This article presents the findings of exploratory and confirmatory factor analyses conducted on the HOPE Scale, a 13-item teacher-rating instrument designed to identify academic and social components of giftedness in elementary-aged students. Participants included 349 teachers who completed HOPE Scales on 5,995 ethnically and economically diverse students from three rural and two metropolitan school districts in the Midwest. Multigroup confirmatory factor analysis was also used to evaluate measurement invariance between income groups. Findings suggest a two-factor model represents good fit for the data while remaining loyal to the latent constructs of academic and social giftedness. Although showing some legitimate mean differences, invariance test results suggested equivalence of model form, factor loading, and factor variances across income groups."
242,2010.0,Modeling Outcomes With Floor or Ceiling Effects: An Introduction to the Tobit Model,"Modeling Outcomes With Floor or Ceiling Effects: An Introduction to the Tobit Model Tobit; ceiling effect; regression; quantitative methods; statistics In gifted education research, it is common for outcome variables to exhibit strong floor or ceiling effects due to insufficient range of measurement of many instruments when used with gifted populations. Common statistical methods (e. g., analysis of variance, linear regression) produce biased estimates when such effects are present. In practice, it is frequent for researchers to ignore ceiling effects and proceed with traditional analysis. However, the problems caused by ceiling effects are not without possible solutions. This Methodological Brief describes a variation of multiple regression, called the Tobit model, which is capable of correct inference when floor or ceiling effects are present. A brief simulation study illustrates the performance of the Tobit model with a dataset exhibiting a ceiling effect."
243,2010.0,Putting Standards Into Practice: Evaluating the Utility of the NAGC Pre-K-Grade 12 Gifted Program Standards,"Putting Standards Into Practice: Evaluating the Utility of the NAGC Pre-K-Grade 12 Gifted Program Standards NAGC Pre-K-Grade 12 Gifted Program Standards; identification; evaluation; special populations/underserved gifted; professional development Despite their importance, there has been surprisingly little scholarly examination of the NAGC Pre-K-Grade 12 Gifted Program Standards (NAGC, 2008/2000; Landrum, Callahan, & Shaklee, 2001) since their publication a decade ago. As part of a larger study investigating the effectiveness of local policies developed within the framework of state law, we used a qualitative approach to examine the 'minimum' and 'exemplary' criteria from the Student Identification portion of these NAGC Standards. Through this process we developed a 27-item checklist, which we then used to evaluate 43 locally developed plans for identifying diverse gifted learners from one large state in the southeastern United States. Based on this experience, we identify the strengths and weaknesses that we encountered in using the Standards for this purpose. We provide the checklist items we developed, and we offer specific suggestions for how the Gifted Program Standards in their currently ongoing revision process might be made more user-friendly for practitioners to apply toward effective evaluation of gifted program documents."
244,2010.0,School Counselors' Perceptions and Experience With Acceleration as a Program Option for Gifted and Talented Students,"School Counselors' Perceptions and Experience With Acceleration as a Program Option for Gifted and Talented Students acceleration; social and/or emotional development and adjustment; counseling; training and preparation This article presents findings from a national survey of 149 practicing school counselors who are members of the American School Counselor Association. The survey gathered information on school counselors' perceptions of and experiences with acceleration as a program option for gifted students. Results indicate that, although school counselors' opinions are being solicited in decision making regarding acceleration, they do not possess training and accurate information regarding acceleration. Hence, training and professional development focusing on the research-based practices of acceleration are needed to ensure that school counselors give accurate advice and guidance concerning gifted students' education. Future research is needed to compare and contrast the effectiveness of accelerative decision making between school counselors who are trained and untrained in acceleration programmatic options."
245,2010.0,The Teacher Observation Form: Revisions and Updates,"The Teacher Observation Form: Revisions and Updates instrumentation; teacher observation; program evaluation; gifted education; teacher practices This article discusses the original development and subsequent updates and revisions made to the Teacher Observation Form (TOF). The TOF is a 12-item form to be used by evaluators in the observation of teachers of gifted and talented students. After nearly 25 years of use, the original TOF was revised based on input from content experts and modified to reflect current effective standards of practices in gifted education. The revised TOF was then used on 217 occasions over a 2-year period to evaluate teachers in university-based enrichment programs. Results indicated that alpha reliability estimates increased for 9 of the 12 TOF items and that the overall rater-level effect (intraclass correlation coefficient) was comparable with that of classroom-level effects in standardized test scores. Based on these findings the authors offer the TOF as a means to provide feedback to teachers as to the prevalence of gifted education pedagogical effective practices in their classrooms."
246,2010.0,The Efficacy of Academic Acceleration for Gifted Minority Students,"The Efficacy of Academic Acceleration for Gifted Minority Students academic acceleration; gifted minority students; Project EXCITE; peer pressure This study supported the use of acceleration for gifted minority students in math. The gifted minority students in this study viewed taking accelerated math courses as exciting and beneficial for preparation for high school and college and particularly liked the challenges they encountered while taking advanced classes. They enjoyed working ahead and having a leg up in school and were infused with a special feeling of being gifted and talented in taking accelerated math. Ethnicity was not a major factor for teachers' support for acceleration. The teachers believed that acceleration provides necessary challenges for students, makes them committed to schoolwork, and enhances their academic achievement. No negative peer pressure resulting from academic acceleration was found, though the teachers were more certain than the students about the existence of negative peer culture for gifted minority students."
247,2010.0,Preservice Teachers' Perceptions and Experiences in a Gifted Education Training Model,"Preservice Teachers' Perceptions and Experiences in a Gifted Education Training Model preservice; preservice training; gifted training; practicum With the prevalence of gifted students in general education classrooms, all teachers will be responsible for providing appropriate programming for them, resulting in a need for training in the education of the gifted to be introduced at the preservice level. In this study, the researchers investigated the effectiveness of a combined intervention strategy for preservice teachers, consisting of a course in the education of the gifted and an accompanying 9-week practicum, in increasing participants' understanding of the characteristics and needs of gifted students. Through semistructured interviews, participants' perceptions of the effects the interventions had on their understanding of gifted students' characteristics and needs were examined. The findings from the interviews were triangulated with classroom observations, lesson plans, and participant responses to the Survey of Practices with Students of Varying Needs. Participants perceived an increase in their understanding of the needs and characteristics of gifted students through participation in the interventions as well as increased confidence in their general teaching abilities. Implications of the study for teacher education and future research are discussed."
248,2010.0,Career Decision Making Among Gifted Students: The Mediation of Teachers,"Career Decision Making Among Gifted Students: The Mediation of Teachers gifted students; career orientations; teacher influences; school experiences; science education; mathematics education; humanities education There is international concern about falling enrollments in higher education, particularly the sciences, by gifted students. In this mixed methods study, the top-performing 200 students (approximately 2%) within a particular education jurisdiction at the beginning of their first year at university were surveyed, and 20 interviewed about their school experiences using a biographical interpretive design. This study focused on identifying those characteristics of teachers that supported students' interests. Participants identified seven characteristics of teachers that students identified as supportive of their potential career pathways. These included connecting pedagogical practices with student interests, being passionate about their subject matter, having good content knowledge, making learning experiences relevant, setting high expectations of students, being a good explainer of complex ideas, and being a good classroom manager. This study extends our knowledge of how teachers influence gifted students and has implications for both preservice and in-service teacher education and career counseling."
249,2010.0,A Progressive Pedagogy for Online Learning With High-Ability Secondary School Students: A Case Study,"A Progressive Pedagogy for Online Learning With High-Ability Secondary School Students: A Case Study online pedagogy; online technologies; international case study; high-ability students This article describes a case study of a group of ten 14-year-old students who engaged with an online extended-learning project as an extracurricular activity for about 6 months. The students were physically located in Australia, Malaysia, and the United Kingdom. The facilitation and online learning made use of a progressive pedagogy that moved from structured, whole group online participation to a more individual, open approach to learning. The study investigated students' motivation to participate in the online learning and explored the nature of the interactions in an online learning environment. The findings show that students interacted differently online, depending on the task at hand. Seven of the 10 students completed the final task of creating learning products. The implications of the study for online learning with high-ability school students are discussed."
250,2010.0,Dealing With Dependence (Part II): A Gentle Introduction to Hierarchical Linear Modeling,"Dealing With Dependence (Part II): A Gentle Introduction to Hierarchical Linear Modeling clustered data; hierarchical linear modeling; gifted education research In education, most naturally occurring data are clustered within contexts. Students are clustered within classrooms, classrooms are clustered within schools, and schools are clustered within districts. When people are clustered within naturally occurring organizational units such as schools, classrooms, or districts, the responses of people from the same cluster are likely to exhibit some degree of relatedness with each other. The use of hierarchical linear modeling allows researchers to adjust for and model this non-independence. Furthermore, it may be of great substantive interest to try to understand the degree to which people from the same cluster are similar to each other and then to try to identify variables that help us to understand differences both within and across clusters. In HLM, we endeavor to understand and explain between-and within-cluster variability of an outcome variable of interest. We can also use predictors at both the individual level (level 1), and the contextual level (level 2) to explain the variance in the dependent variable. This article presents a simple example using a real data set and walk through the interpretation of a simple hierarchical linear model to illustrate the utility of the technique."
251,2010.0,Socioeconomic Status Effects on Using the Naglieri Nonverbal Ability Test (NNAT) to Identify the Gifted/Talented,"Socioeconomic Status Effects on Using the Naglieri Nonverbal Ability Test (NNAT) to Identify the Gifted/Talented identification; socioeconomic status; Naglieri Nonverbal Ability Test The Naglieri Nonverbal Ability Test (NNAT) is said to be a culturally neutral measure of ability that assesses both majority and minority students equally. Although research has examined the effects of ethnicity and gender on NNAT performance, little published research has examined the relationship between socioeconomic status (SES) and NNAT performance. Correlations and multiple regression were used to examine the relationships between ethnicity, SES, and NNAT performance in a large kindergarten sample. The results suggest a significant relationship between ethnicity, SES, and NNAT performance. Even after adjusting for ethnic differences, children from low-SES families were half as likely as other children to be identified."
252,2010.0,Developmental Changes in Processing Speed: Influence of Accelerated Education for Gifted Children,"Developmental Changes in Processing Speed: Influence of Accelerated Education for Gifted Children gifted children; speed of information processing (SIP); accelerated education; development There are two major hypotheses concerning the developmental trends of processing speeds. These hypotheses explore both local and global trends. The study presented here investigates the effects of people's different knowledge on the speed with which they are able to process information. The participants in this study are gifted children aged 9, 11, and 13 years. A total of 94 of the participants were members of gifted programs, whereas the other 93 children received standard education. They were required to finish two information-processing tasks: a Choice Reaction Time task and an Abstract Matching task. The results show that the reaction time of gifted children who received accelerated education in gifted programs was significantly faster than that of the children who received standard education at every age. These results seem to imply that the educational atmosphere in which a child is placed plays a significant role in the development of gifted children's speed of information processing."
253,2010.0,"Exploring the Relationship of College Freshmen Honors Students' Effort and Ability Attribution, Interest, and Implicit Theory of Intelligence With Perceived Ability","Exploring the Relationship of College Freshmen Honors Students' Effort and Ability Attribution, Interest, and Implicit Theory of Intelligence With Perceived Ability interest; achievement; ability; effort; implicit theory of intelligence Although there are several explanations for why one succeeds or fails, effort and ability are the major causes that students report. The purpose of the present study was to measure the perceptions of 149 college freshmen enrolled in a university honors program about their skills in 15 talent areas. In addition, this study explored the relationship of interests and ability and effort attributions with self-efficacy and investigated gender differences in these perceptions. There was a positive relationship between students' interest in a talent area and their assessment of their skill in that area. The strongest relationships tended to be in nonacademic areas. For some talents, males placed stronger attributions on the role that natural ability played, whereas females indicated that personal effort contributed to high levels of performance. Participants' implicit theory of intelligence did not appear to influence their perceptions of the importance of ability in academic performance."
254,2010.0,Cognitive and Psychosocial Characteristics of Gifted Students With Written Language Disability,"Cognitive and Psychosocial Characteristics of Gifted Students With Written Language Disability gifted students; disorder of written expression; specific learning disabilities Gifted and talented students who also have a specific learning disability (SLD) are typically referred to as twice-exceptional and are among the most underserved students in our schools. Previous special education laws promoted a wait-to-fail approach; therefore, gifted students with SLD often were overlooked because their average academic performance was not failure enough. The flip side to this was the fact that students' giftedness, as measured by general ability tests, often was masked by average, yet relatively weak, academic achievement. They were not only waiting to fail, they were failing to flourish. The authors present the data gathered from 14 gifted students with SLD, specifically a disorder of written expression. Students were determined to be gifted if they earned a score of 120 (Superior) on the Verbal Scale of a cognitive ability test. They were considered to have a written language disability through an evaluation of their written language skills. The average Verbal IQ for the group was close to a standard score of 130, whereas the average Written Language Score was close to a standard score of 99. In addition to the cognitive profile for these students, the authors obtained measures of their psychosocial functioning. On average, parents, teachers, and students reported typical adaptive behavior, yet group elevations also were present on several clinical scales. The authors' main conclusion is that a comprehensive assessment plays a critical role in (a) determining whether a student is twice-exceptional, (b) identifying the possibility of psychosocial concerns, and (c) developing educational recommendations."
255,2010.0,High Achievement on Advanced Placement Exams: The Relationship of School-Level Contextual Factors to Performance,"High Achievement on Advanced Placement Exams: The Relationship of School-Level Contextual Factors to Performance high achievement; Advanced Placement; hierarchical regression The purpose of the study was to identify school- and district-level variables that relate to advanced academic achievement, as defined by the ratio of number of scores of 3, 4, or 5 on Advanced Placement exams to school enrollment. The study initially included 46 variables for 339 public high schools in one Midwestern state. Hierarchical linear regressions were applied to 14 and then 7 independent variables, explaining 80% of the variance in advanced academic achievement among high schools. Findings indicate that after accounting for seemingly fixed factors, schools and districts can still contribute significantly in the development of advanced academic achievement. Implications for educators and policy makers are discussed."
